coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,R. Urrutia,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Regression",NA,Air Surface,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,P. Appleby,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Regression",NA,Air Surface,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,R. De Jong,lake sediment,inferred,NDJF reconstructed temperature,NA,Air Surface,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,L. Von Gunten,lake sediment,inferred,NDJF reconstructed temperature,NA,Air Surface,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,A. Maldonado,lake sediment,inferred,NDJF reconstructed temperature,NA,Air Surface,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,M. Grosjean,lake sediment,inferred,NDJF reconstructed temperature,NA,Air Surface,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,R. De Jong,lake sediment,inferred,NDJF temperature scaled to 20th century mean,NA,Na,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,L. Von Gunten,lake sediment,inferred,NDJF temperature scaled to 20th century mean,NA,Na,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,A. Maldonado,lake sediment,inferred,NDJF temperature scaled to 20th century mean,NA,Na,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,M. Grosjean,lake sediment,inferred,NDJF temperature scaled to 20th century mean,NA,Na,Temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Julie Elbert,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Richard Wartenburger,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Lucien Von Gunten,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Roberto Urrutia,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Daniela Fischer,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Marian Fujak,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Yvonne Hamann,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Nicolas David Greber,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,Martin Grosjean,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
