dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,hasProxySystem,ProxySystem.SensorType,interpretation/variable,interpretation/variableDetail
Tanganyika.Tierney.2008.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEBc1d41361,measured,BIT,BIT,NA,NA,BIT,2,unitless,NA,NA,NA,NA
Victoria.Berke.2012.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB6f8526e9,measured,TEX86,TEX86,NA,NA,TEX86,2,unitless,NA,NA,NA,NA
Victoria.Berke.2012.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEBecb3f450,measured,BIT,BIT,NA,NA,BIT,2,unitless,NA,NA,NA,NA
WAISDivide.Fegyveresi.2016.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEBb8d62499,measured,bubbleNumberDensity,bubbleNumberDensity,NA,NA,bubbleNumberDensity,2,bubbles/cm3,NA,NA,NA,NA
WAISDivide.Fegyveresi.2016.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB272ac1fb,measured,bubbleNumberDensityError,bubbleNumberDensityError,NA,NA,bubbleNumberDensityError,2,bubbles/cm3,NA,NA,NA,NA
WhitePond.Krause.2019.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB01d81cae,measured,brGDGT,NA,NA,NA,brGDGT,3,peak area,NA,NA,NA,NA
WhitePond.Krause.2019.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB8f6b7fbe,measured,brGDGTIIIa,NA,NA,NA,brGDGTIIIa,3,peak area,NA,NA,NA,NA
WhitePond.Krause.2019.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB6e9ae6d9,measured,brGDGTIIIb,NA,NA,NA,brGDGTIIIb,3,peak area,NA,NA,NA,NA
WhitePond.Krause.2019.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB7df5f154,measured,brGDGT,NA,NA,NA,brGDGT,3,peak area,NA,NA,NA,NA
WhitePond.Krause.2019.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB18a35b4b,measured,brGDGTIia,NA,NA,NA,brGDGTIia,3,peak area,NA,NA,NA,NA
WhitePond.Krause.2019.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB29094b2a,measured,brGDGTIib,NA,NA,NA,brGDGTIib,3,peak area,NA,NA,NA,NA
WhitePond.Krause.2019.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEBb544332e,measured,brGDGT,NA,NA,NA,brGDGT,3,peak area,NA,NA,NA,NA
